category,company,env_relevant,has_metric,sentence,source_file,year
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,Member efforts to increase efficiencies and further enhance sustainability performance within their companies resulted in the early achievement of our safety and greenhouse gas emission goals.,american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,2 ENERGY EFFICIENCY At least a 10 percent increase in members’ purchased energy efficiency from 2005 to 2020 Member purchased energy use per ton of production was 8.1 percent lower in 2014 2015 LEADERSHIP IN SUSTAINABILITY AWARD FOR ENERGY EFFICIENCY / GREENHOUSE GAS compared to the baseline year of 2005.,american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"It has enabled the mill to put net power to the grid, greatly reduce coal use and greenhouse gas emissions, and de- crease freshwater usage and the generation of wastewater, while providing a market for bark and other byproducts from the forest.",american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,The amount of wood fiber members procured from certified sourcing programs increased from 87 percent in 2005 to 98 percent in 2014.,american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,WOOD FIBER PROCURED FROM CERTIFIED FIBER SOURCING PROGRAMS GOAL 2005 2010 2012 2014 Baseline Wood fiber sourced by members from third party certified forestlands increased from 23 percent in 2005 to 29 percent in 2014.,american-forest-paper-association_2016_esg.jsonl,2016
action,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"These water conserva- tion efforts also reduced costs required for heating, pumping and treating water, and 9000 support ongoing resource conservation efforts at the mill.",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"These reductions have come about through member adoption of efficient manufacturing production measures, increased use of less carbon-intensive fossil fuels and carbon-neutral biomass-based energy sources.",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Due to state Renewable Portfolio Standards, environmental regulations",american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"market forces, the GHG intensity of purchased electricity has decreased 15 percent between 2005",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"To make our measurements more comparable over time, however, we have held constant at 2005 levels national GHG emission factors associated with electricity2 and steam3 purchased by our mills and not reflected that decrease.",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,If we adjust our reduction calculations to reflect the changes in the grid,american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"to reflect the locations of our members’ mills, they would have achieved a 20.4 percent reduction from 2005 to 2014.4 Member GHG Reductions Make a Difference GHG releases from member facilities in 2014 were lower by 37 million tons CO equivalents when compared to 2 emissions from member facilities in 2000.",american-forest-paper-association_2016_esg.jsonl,2016
marketing,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,Energy Production and Efficiency AF&PA member manufacturing facilities obtain energy 2014 LEADERSHIP IN SUSTAINABILITY AWARD from a number of sources to support operations.,american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Available at: www.sfiprogram.org/files/sfi- 2015-progress-report/ 17 Water PULP AND PAPER MILL EFFLUENT DISCHARGES Water is essential for production of paper and wood products, and 4 16 AF&PA members have taken import- ant steps to improve and preserve 3 12 water resources.",american-forest-paper-association_2016_esg.jsonl,2016
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,paper 2 8 mills reduced the amount of water needed to produce one ton of product by 15.2 percent.,american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Based on analysis of 2006 data by the National Council for Air and Stream Improvement (NCASI) 7 Based on NCASI analysis 18 Doing More with Less Through the use of science and technology, AF&PA members strive for continuous improvements that “decouple” the demand for goods and services from the demand for natural resources and emissions.",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"As we get closer to background levels of emissions, it becomes much more challenging and costly to achieve continued reductions.",american-forest-paper-association_2016_esg.jsonl,2016
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Clearwater Paper donates an annual $10,000, and employees have volunteered hundreds of hours planting trees, weeding and providing general clean-up services for the Lindsay Creek stream bank, helping to radically improve the wildlife habitat, water quality and the area’s visual appeal.",american-forest-paper-association_2016_esg.jsonl,2016
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,Our members make essential products for everyday life from Alignment with the United Nations renewable and recyclable resourc- Sustainable Development Goals es.,american-forest-paper-association_2018_esg.jsonl,2018
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"#7: Affordable and Clean Energy Established in 2011, Better Practices, Better Planet #8: Decent Work and Economic Growth 2020 aims to ensure our industry’s sustainable con- Our alignment with the objectives of the UNSDGs, which were released in 2015, is evidence that our industry is working on some of the most pressing sustainability issues of our time.",american-forest-paper-association_2018_esg.jsonl,2018
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"Resolute Forest Products’ GHG Emissions Reduction Program Resolute adopted a series of sustainability commit- GOAL: At least a 20 percent ments, including a goal to reduce GHG emissions from their facilities by 65 percent between 2000 reduction of our members’",american-forest-paper-association_2018_esg.jsonl,2018
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Efforts to reduce greenhouse gas (GHG) emissions from manufacturing processes are an Reductions in GHG emissions intensity are driven by inherent part of our industry’s environmental decreased coal and oil use, as well as by increased T T E R PRAC T I C stewardship and are supported by our mem- use of less carbon-intensive natural gas.",american-forest-paper-association_2018_esg.jsonl,2018
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,"This includes documenting increased from 87 percent in 2005 to 99.1 percent in fiber sources, requiring suppliers to sign agreements 2016.",american-forest-paper-association_2018_esg.jsonl,2018
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Therefore, members con- of water consumption, the company proved to be tinue to seek ways to reduce, reuse and recycle T T E R PRAC T significant resources to the development of new and improved products.",american-forest-paper-association_2018_esg.jsonl,2018
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"Benefits include an 8 percent reduction in daily Health water usage at the mill, improved water effluent Member companies offer their employees health risk quality,",american-forest-paper-association_2018_esg.jsonl,2018
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,increased opportunities for reuse of the assessments,american-forest-paper-association_2018_esg.jsonl,2018
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"health promotion programs, as well fly ash.",american-forest-paper-association_2018_esg.jsonl,2018
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,"Since 2006, we have improved our incidence rate by 38.4 percent.",american-forest-paper-association_2020_esg.jsonl,2020
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"In 2011, we publicly announced the adoption of a GHG sustainability goal to be achieved by the end of the decade.",american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,"When members surpassed that goal, we again raised the bar, increasing it to 20 percent, which we have now successfully achieved with a 23.2 percent reduction.",american-forest-paper-association_2020_esg.jsonl,2020
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"BY NATURE circular economy and define the paper Products made from a renewable resource and wood products industry’s dedi- cation to protecting our environment Manufacturing emphasizes energy conservation and reuse of inputs and materials including fiber, and meeting our economic and socie- chemicals and water tal commitments.",american-forest-paper-association_2020_esg.jsonl,2020
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Of the seventeen goals, eight align signifi- cantly with the paper and wood products industry’s sustainability efforts: Quality Education Clean Water and Sanitation Since our goals were established in 2011, AF&PA has reported member progress in a biennial report.",american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,False,True,Wood fiber that members sourced from third-party certified forestlands increased from 23 percent in 2005 to 28.1 percent in 2018.,american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,Shedding light on reduced energy use AF&PA ENERGY EFFICIENCY Seaman Paper reduced their electricity consumption by over 1.2 million GOAL HIGHLIGHT kilowatt hours per year by switching a significant portion of their lighting to 13.3% LED.,american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,The lightweight papers and decorative packaging supplier used energy decrease conservation incentives provided by their utility to replace existing lighting with LED or specify LED lighting in their converting plants and warehouses in purchased energy in north central Massachusetts.,american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,At least a 20 percent reduction of our members’ greenhouse gas emissions from 2005 to 202010 The paper,american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,wood products industry was among the first to take voluntary action to reduce greenhouse gas (GHG) emissions.,american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Forests provide an important ecosys- tem service by sequestering carbon and growing trees that release oxygen, supporting life on our planet.",american-forest-paper-association_2020_esg.jsonl,2020
