file_name,sentence,label
american-forest-paper-association_2016_esg.txt,Member efforts to increase efficiencies and further enhance sustainability performance within their companies resulted in the early achievement of our safety and greenhouse gas emission goals.,0
american-forest-paper-association_2016_esg.txt,"Our industry’s commitment to sustainability reaches far beyond fulfillment of the Better Practices, Better Planet 2020 goals.",1
american-forest-paper-association_2016_esg.txt,2 ENERGY EFFICIENCY At least a 10 percent increase in members’ purchased energy efficiency from 2005 to 2020 Member purchased energy use per ton of production was 8.1 percent lower in 2014 2015 LEADERSHIP IN SUSTAINABILITY AWARD FOR ENERGY EFFICIENCY / GREENHOUSE GAS compared to the baseline year of 2005.,0
american-forest-paper-association_2016_esg.txt,"It has enabled the mill to put net power to the grid, greatly reduce coal use and greenhouse gas emissions, and de- crease freshwater usage and the generation of wastewater, while providing a market for bark and other byproducts from the forest.",0
american-forest-paper-association_2016_esg.txt,Increase the amount of fiber procured from certified forestlands or through certified fiber sourcing programs in the U.S. from 2005 to 2020 and work to decrease illegal logging 2014 LEADERSHIP IN SUSTAINABILITY AWARDS FOR SUSTAINABLE FOREST MANAGEMENT:,0
american-forest-paper-association_2016_esg.txt,"WestRock’s Internal Fiber Supply Chain Certification Program WestRock (then RockTenn) achieved its sustainability goal to achieve fiber chain-of- custody certification to credible third-party forestry certifications at all its North American wholly owned manufacturing facilities by 2020 in 2013, creating the single largest multisite fiber chain-of-custody certification in the U.S. paper industry.",2
american-forest-paper-association_2016_esg.txt,"These water conserva- tion efforts also reduced costs required for heating, pumping and treating water, and 9000 support ongoing resource conservation efforts at the mill.",2
american-forest-paper-association_2016_esg.txt,"These reductions have come about through member adoption of efficient manufacturing production measures, increased use of less carbon-intensive fossil fuels and carbon-neutral biomass-based energy sources.",0
american-forest-paper-association_2016_esg.txt,"Due to state Renewable Portfolio Standards, environmental regulations and market forces, the GHG intensity of purchased electricity has decreased 15 percent between 2005 and 2012.",2
american-forest-paper-association_2016_esg.txt,"To make our measurements more comparable over time, however, we have held constant at 2005 levels national GHG emission factors associated with electricity2 and steam3 purchased by our mills and not reflected that decrease.",0
american-forest-paper-association_2016_esg.txt,"If we adjust our reduction calculations to reflect the changes in the grid and to reflect the locations of our members’ mills, they would have achieved a 20.4 percent reduction from 2005 to 2014.4 Member GHG Reductions Make a Difference GHG releases from member facilities in 2014 were lower by 37 million tons CO equivalents when compared to 2 emissions from member facilities in 2000.",2
american-forest-paper-association_2016_esg.txt,Energy Production and Efficiency AF&PA member manufacturing facilities obtain energy 2014 LEADERSHIP IN SUSTAINABILITY AWARD from a number of sources to support operations.,1
american-forest-paper-association_2016_esg.txt,"Available at: www.sfiprogram.org/files/sfi- 2015-progress-report/ 17 Water PULP AND PAPER MILL EFFLUENT DISCHARGES Water is essential for production of paper and wood products, and 4 16 AF&PA members have taken import- ant steps to improve and preserve 3 12 water resources.",0
american-forest-paper-association_2016_esg.txt,"Between 2000 and 2010, AF&PA member pulp and paper 2 8 mills reduced the amount of water needed to produce one ton of product by 15.2 percent.",2
american-forest-paper-association_2016_esg.txt,"Based on analysis of 2006 data by the National Council for Air and Stream Improvement (NCASI) 7 Based on NCASI analysis 18 Doing More with Less Through the use of science and technology, AF&PA members strive for continuous improvements that “decouple” the demand for goods and services from the demand for natural resources and emissions.",0
american-forest-paper-association_2016_esg.txt,"As we get closer to background levels of emissions, it becomes much more challenging and costly to achieve continued reductions.",0
american-forest-paper-association_2016_esg.txt,2.0 1.8 1.6 1.4 1.2 1.0 0.8 0.6 0.4 0.2 0.0 1975 1985 1995 2000 2002 2006 2008 2010 2012 2014 Production Total Energy Greenhouse Gases Effluent Nitrogen Oxides Sulphur Dioxide Total Reduced Sulphur Total Suspended Solids Adsorbable Organic Halides Biochemical Oxygen Demand 19 )1 = 5791( xednI eulaV tcapmI/noitcudorP Social Safety and Employee Well-Being The safety of our workers is of paramount concern for our members.,2
american-forest-paper-association_2016_esg.txt,"Clearwater Paper donates an annual $10,000, and employees have volunteered hundreds of hours planting trees, weeding and providing general clean-up services for the Lindsay Creek stream bank, helping to radically improve the wildlife habitat, water quality and the area’s visual appeal.",0
american-forest-paper-association_2018_esg.txt,Our members make essential products for everyday life from Alignment with the United Nations renewable and recyclable resourc- Sustainable Development Goals es.,0
american-forest-paper-association_2018_esg.txt,The report end notes include references to where provement through our industry- member activities align with the objectives of the United Nations Sustainable Development Goals.,0
american-forest-paper-association_2018_esg.txt,"#7: Affordable and Clean Energy Established in 2011, Better Practices, Better Planet #8: Decent Work and Economic Growth 2020 aims to ensure our industry’s sustainable con-",1
american-forest-paper-association_2018_esg.txt,"Our alignment with the objectives of the UNSDGs, which were released in 2015, is evidence that our industry is working on some of the most pressing sustainability issues of our time.",0
american-forest-paper-association_2018_esg.txt,"Exceed 70% paper recovery for 65.8% (2017) 14.3 percentage point t 1.0 recycling increase (2015) Reduce greenhouse gas emissions 0.664 ton CO eq per ton 19.9% reduction s 3.9 2 by at least 20% of product Improve safety incidence rate by 1.672 recordable cases 36.3% improvement t 4.5 25%, while working to achieve per 200,000 hours (2006) zero injuries worked GOAL SURPASSED Increase fiber procurement from 29.1% from certified 6.1 percentage point s 0.1 certified forestlands and certified forestlands increase fiber sourcing programs; decrease s 1.1 99.1% from certified fiber 12.1 percentage point illegal logging sourcing programs increase Reduce pulp and paper mill water 10,540 gallons per ton of 6.6% reduction s 0.1 use by at least 12% product * unless noted CONTRIBUTING TO SOCIETY Baseline Year: increase U.S. forest products industry was produced using Reductions in purchased energy are primarily driven combined heat and power (CHP).3 The forest products by new, typically more efficient, boilers and auxilia- industry is the second largest industrial sector pro- ries and other energy efficiency projects undertaken ducer of CHP electricity after the chemical industry.4 at mills.",2
american-forest-paper-association_2018_esg.txt,"Resolute Forest Products’ GHG Emissions Reduction Program Resolute adopted a series of sustainability commit- GOAL: At least a 20 percent ments, including a goal to reduce GHG emissions from their facilities by 65 percent between 2000 reduction of our members’ and 2015.",2
american-forest-paper-association_2018_esg.txt,"Efforts to reduce greenhouse gas (GHG) emissions from manufacturing processes are an Reductions in GHG emissions intensity are driven by inherent part of our industry’s environmental decreased coal and oil use, as well as by increased T T E R PRAC T I C stewardship and are supported by our mem- use of less carbon-intensive natural gas.",1
american-forest-paper-association_2018_esg.txt,"Performance: 0.664 ton CO eq 2 (per ton of product) Progress from 19.9% Baseline Year: reduction 6 2006 Baseline Performance: 2.625 recordable cases/200,000 hours worked 2016 Performance: 1.672 recordable cases/200,000 hours worked Progress from 36.3% Baseline Year: improvement  GOAL SURPASSED Worker Safety 2016 LEADERSHIP IN SUSTAINABILITY AWARD GOAL: A vision for the industry FOR SAFETY WestRock Company’s Safety First, of zero injuries and measuring Safety Always Project progress toward that aspirational To achieve a higher rate of employee safety engagement, improve safety culture and morale, goal by further improving our and reduce injuries and costs, WestRock produced the Safety First, Safety Always video as part of incidence rate by 25 percent from their 2015 safety strategy.",2
american-forest-paper-association_2018_esg.txt,They also provide useful and timely safety updates and invest in programs to promote the well-being of their employees and the to identify and remediate SIF precursors; developed communities where they operate.,0
american-forest-paper-association_2018_esg.txt,"survey instruments for collecting SIF-related data from member companies; compiled a compendium of As part of the ongoing effort to help our members reduce serious injuries and fatalities (SIF), AF&PA publicly available workplace health and safety infor- convened safety workshops aimed at discussing how mation; and organized safety webinars.",1
